time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-05-01 00:20:00	30	2.73	44.5	-2.72	-0.26	-0.10	0.29	3.97E+06	*	0
2025-05-01 00:20:00	40	2.75	33.5	-2.63	-0.78	-0.27	0.30	2.64E+06	*	0
2025-05-01 00:20:00	50	2.99	34.8	-2.89	-0.78	-0.40	0.32	2.82E+06	*	0
2025-05-01 00:20:00	60	3.34	33.4	-3.20	-0.95	-0.51	0.35	3.08E+06	*	0
2025-05-01 00:20:00	70	3.78	33.8	-3.63	-1.06	-0.53	0.37	2.63E+06	*	0
2025-05-01 00:20:00	80	4.15	33.5	-3.98	-1.18	-0.54	0.40	1.84E+06	*	0
2025-05-01 00:20:00	90	4.44	32.7	-4.24	-1.32	-0.53	0.42	1.30E+06	*	0
2025-05-01 00:20:00	100	4.67	32.3	-4.45	-1.42	-0.49	0.44	1.40E+06	*	0
2025-05-01 00:20:00	110	4.75	31.9	-4.52	-1.48	-0.42	0.42	1.43E+06	*	0
2025-05-01 00:20:00	120	4.77	32.1	-4.54	-1.47	-0.38	0.40	9.35E+05	*	0
2025-05-01 00:20:00	130	4.74	32.4	-4.52	-1.43	-0.35	0.37	6.35E+05	*	0
2025-05-01 00:20:00	140	4.71	33.6	-4.52	-1.33	-0.37	0.36	5.52E+05	*	0
2025-05-01 00:20:00	150	4.66	34.3	-4.49	-1.26	-0.41	0.33	5.27E+05	*	0
2025-05-01 00:20:00	160	4.60	34.8	-4.44	-1.21	-0.47	0.27	4.27E+05	*	0
2025-05-01 00:20:00	170	4.56	35.2	-4.41	-1.16	-0.43	0.28	3.57E+05	*	0
2025-05-01 00:20:00	180	4.52	36.6	-4.40	-1.05	-0.42	0.29	3.36E+05	*	0
2025-05-01 00:20:00	190	4.52	38.2	-4.43	-0.92	-0.37	0.28	2.95E+05	*	0
2025-05-01 00:20:00	200	4.48	39.7	-4.40	-0.80	-0.40	0.27	2.53E+05	*	0
2025-05-01 00:20:00	210	4.35	41.0	-4.30	-0.68	-0.38	0.28	3.14E+05	*	0
2025-05-01 00:20:00	220	4.17	42.8	-4.14	-0.53	-0.40	0.31	3.10E+05	*	0
2025-05-01 00:20:00	230	4.06	44.7	-4.04	-0.37	-0.41	0.31	3.41E+05	*	0
2025-05-01 00:20:00	240	4.00	45.4	-3.99	-0.32	-0.43	0.32	3.03E+05	*	0
2025-05-01 00:20:00	250	3.98	45.2	-3.96	-0.33	-0.41	0.33	3.60E+05	*	0
2025-05-01 00:20:00	260	3.95	45.2	-3.94	-0.33	-0.39	0.37	3.27E+05	*	0
2025-05-01 00:20:00	270	3.91	45.3	-3.89	-0.32	-0.41	0.42	3.10E+05	*	0
2025-05-01 00:20:00	280	3.93	45.5	-3.92	-0.31	-0.42	0.44	3.94E+05	*	0
2025-05-01 00:20:00	290	3.94	45.3	-3.93	-0.33	-0.44	0.46	4.38E+05	*	0
2025-05-01 00:20:00	300	3.99	45.0	-3.98	-0.35	-0.44	0.47	4.45E+05	*	0
2025-05-01 00:20:00	310	3.97	45.7	-3.96	-0.30	-0.47	0.43	4.19E+05	*	0
2025-05-01 00:20:00	320	3.96	47.8	-3.95	-0.15	-0.49	0.43	3.92E+05	*	0
2025-05-01 00:20:00	330	4.04	50.9	-4.04	0.07	-0.53	0.41	3.59E+05	*	0
2025-05-01 00:20:00	340	4.35	53.3	-4.34	0.25	-0.53	0.41	3.59E+05	*	0
2025-05-01 00:20:00	350	4.51	54.5	-4.50	0.35	-0.51	0.45	3.46E+05	*	0
2025-05-01 00:20:00	360	4.49	55.2	-4.47	0.40	-0.44	0.47	3.83E+05	*	0
2025-05-01 00:20:00	370	4.34	55.6	-4.32	0.42	-0.38	0.47	3.59E+05	*	0
2025-05-01 00:20:00	380	4.27	56.4	-4.24	0.48	-0.34	0.47	3.78E+05	*	0
2025-05-01 00:20:00	390	4.22	58.1	-4.17	0.59	-0.36	0.46	3.89E+05	*	0
2025-05-01 00:20:00	400	4.31	59.5	-4.25	0.71	-0.37	0.45	3.62E+05	*	0
2025-05-01 00:20:00	410	4.44	61.1	-4.36	0.85	-0.36	0.42	3.58E+05	*	0
2025-05-01 00:20:00	420	4.53	62.7	-4.42	0.99	-0.33	0.44	3.36E+05	*	0
2025-05-01 00:20:00	430	4.49	63.9	-4.36	1.08	-0.31	0.42	3.31E+05	*	0
2025-05-01 00:20:00	440	4.58	64.6	-4.43	1.15	-0.32	0.38	3.20E+05	*	0
2025-05-01 00:20:00	450	4.66	65.7	-4.49	1.26	-0.36	0.38	2.32E+05	*	0
2025-05-01 00:20:00	460	4.75	66.1	-4.56	1.32	-0.37	0.38	2.72E+05	*	0
2025-05-01 00:20:00	470	4.62	65.6	-4.45	1.24	-0.35	0.42	3.12E+05	*	0
2025-05-01 00:20:00	480	4.77	63.6	-4.64	1.12	-0.28	0.44	3.20E+05	*	0
2025-05-01 00:20:00	490	5.00	64.3	-4.84	1.24	-0.27	0.42	3.05E+05	*	0
2025-05-01 00:20:00	500	5.37	64.8	-5.19	1.37	-0.25	0.45	3.85E+05	*	0
2025-05-01 00:40:00	30	2.36	45.2	-2.35	-0.20	-0.20	0.50	6.01E+06	*	0
2025-05-01 00:40:00	40	2.24	49.7	-2.24	-0.01	-0.16	0.48	6.00E+06	*	0
2025-05-01 00:40:00	50	2.28	49.4	-2.28	-0.02	-0.27	0.44	3.07E+06	*	0
2025-05-01 00:40:00	60	2.29	50.0	-2.29	0.00	-0.46	0.41	2.93E+06	*	0
2025-05-01 00:40:00	70	2.47	46.4	-2.47	-0.15	-0.46	0.42	1.91E+06	*	0
2025-05-01 00:40:00	80	2.48	44.5	-2.47	-0.24	-0.51	0.44	1.42E+06	*	0
2025-05-01 00:40:00	90	2.46	43.1	-2.44	-0.30	-0.58	0.48	8.98E+05	*	0
2025-05-01 00:40:00	100	2.51	41.0	-2.48	-0.39	-0.61	0.53	7.57E+05	*	0
2025-05-01 00:40:00	110	2.70	38.9	-2.65	-0.52	-0.58	0.57	8.34E+05	*	0
2025-05-01 00:40:00	120	2.86	37.3	-2.79	-0.63	-0.48	0.56	8.64E+05	*	0
2025-05-01 00:40:00	130	2.93	35.7	-2.84	-0.73	-0.39	0.52	6.55E+05	*	0
2025-05-01 00:40:00	140	3.14	34.9	-3.03	-0.82	-0.31	0.45	5.68E+05	*	0
2025-05-01 00:40:00	150	3.15	32.1	-3.00	-0.97	-0.29	0.43	6.89E+05	*	0
2025-05-01 00:40:00	160	3.30	31.8	-3.13	-1.03	-0.22	0.45	7.62E+05	*	0
2025-05-01 00:40:00	170	3.38	30.6	-3.19	-1.12	-0.17	0.48	7.19E+05	*	0
2025-05-01 00:40:00	180	3.64	31.7	-3.46	-1.14	-0.08	0.47	6.62E+05	*	0
2025-05-01 00:40:00	190	3.78	29.7	-3.55	-1.31	-0.01	0.49	6.76E+05	*	0
2025-05-01 00:40:00	200	3.90	27.5	-3.61	-1.49	0.00	0.49	1.02E+06	*	0
2025-05-01 00:40:00	210	4.02	27.2	-3.71	-1.56	0.02	0.52	8.09E+05	*	0
2025-05-01 00:40:00	220	4.11	27.2	-3.79	-1.59	0.06	0.52	8.29E+05	*	0
2025-05-01 00:40:00	230	4.07	29.4	-3.81	-1.43	0.19	0.53	7.42E+05	*	0
2025-05-01 00:40:00	240	4.02	30.6	-3.79	-1.33	0.31	0.57	6.49E+05	*	0
2025-05-01 00:40:00	250	3.98	34.3	-3.83	-1.07	0.41	0.60	6.07E+05	*	0
2025-05-01 00:40:00	260	4.06	36.5	-3.95	-0.95	0.50	0.62	5.73E+05	*	0
2025-05-01 00:40:00	270	4.04	38.4	-3.96	-0.82	0.55	0.65	5.69E+05	*	0
2025-05-01 00:40:00	280	4.04	41.6	-3.99	-0.59	0.61	0.68	5.65E+05	*	0
2025-05-01 00:40:00	290	3.96	45.9	-3.95	-0.29	0.64	0.70	4.88E+05	*	0
2025-05-01 00:40:00	300	4.11	49.1	-4.11	-0.06	0.65	0.71	4.60E+05	*	0
2025-05-01 00:40:00	310	4.19	51.2	-4.19	0.09	0.64	0.73	4.33E+05	*	0
2025-05-01 00:40:00	320	4.48	51.9	-4.48	0.15	0.63	0.74	3.90E+05	*	0
2025-05-01 00:40:00	330	4.54	53.7	-4.53	0.29	0.67	0.75	3.83E+05	*	0
2025-05-01 00:40:00	340	4.62	53.8	-4.61	0.30	0.70	0.77	4.72E+05	*	0
2025-05-01 00:40:00	350	4.49	56.3	-4.47	0.49	0.71	0.78	4.54E+05	*	0
2025-05-01 00:40:00	360	4.51	57.3	-4.47	0.57	0.69	0.79	3.83E+05	*	0
2025-05-01 00:40:00	370	4.55	58.8	-4.50	0.70	0.72	0.77	3.86E+05	*	0
2025-05-01 00:40:00	380	4.60	59.2	-4.54	0.73	0.73	0.75	3.57E+05	*	0
2025-05-01 00:40:00	390	4.68	60.1	-4.61	0.82	0.76	0.73	3.69E+05	*	0
